Kind,Display Name,Connector
Scheduled,Squid proxy events for ToR proxies,Syslog
Scheduled,Brute Force Attack against GitHub Account,AzureActiveDirectory
ThreatIntelligence,(Preview) Microsoft Threat Intelligence Analytics,CEF
Scheduled,Failed host logons but success logon to AzureAD,AzureActiveDirectory
Scheduled,Failed host logons but success logon to AzureAD,SecurityEvents
Scheduled,Failed host logons but success logon to AzureAD,Syslog
Scheduled,Rare RDP Connections,SecurityEvents
Scheduled,Potential Kerberoasting,SecurityEvents
Scheduled,(Preview) TI map Domain entity to Syslog,Syslog
Scheduled,(Preview) TI map Domain entity to Syslog,ThreatIntelligence
Scheduled,Palo Alto - possible internal to external port scanning,PaloAltoNetworks
Scheduled,Mass secret retrieval from Azure Key Vault,WAF
Scheduled,(Preview) TI map Email entity to AzureActivity,AzureActivity
Scheduled,(Preview) TI map Email entity to AzureActivity,ThreatIntelligence
Scheduled,Failed AWS Console logons but success logon to AzureAD,AzureActiveDirectory
Scheduled,Failed AWS Console logons but success logon to AzureAD,AWS
Scheduled,(Preview) TI map Email entity to OfficeActivity,Office365
Scheduled,(Preview) TI map Email entity to OfficeActivity,ThreatIntelligence
Scheduled,Malicious Inbox Rule,Office365
Scheduled,(Preview) TI map IP entity to SigninLogs,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to SigninLogs,AzureActiveDirectory
Scheduled,(Preview) TI map URL entity to Syslog data,Syslog
Scheduled,(Preview) TI map URL entity to Syslog data,ThreatIntelligence
Scheduled,Failed logon attempts in authpriv,Syslog
Scheduled,Excessive Amount of Denied Connections from a Single Source,SophosXGFirewall
Scheduled,Excessive Denied Proxy Traffic,SymantecProxySG
Scheduled,Login from User(s) from Different Countries within 3 hours,OktaSSO
Scheduled,High count of failed attempts from same client IP,AzureMonitor(IIS)
Scheduled,New internet-exposed SSH endpoints,Syslog
Scheduled,Sign-ins from IPs that attempt sign-ins to disabled accounts,AzureActiveDirectory
Scheduled,New UserAgent observed in last 24 hours,AWS
Scheduled,New UserAgent observed in last 24 hours,Office365
Scheduled,New UserAgent observed in last 24 hours,AzureMonitor(IIS)
Scheduled,GitHub Signin Burst from Multiple Locations,AzureActiveDirectory
Scheduled,Malware Link Clicked,ProofpointTAP
Scheduled,Threats detected by Eset,EsetSMC
MicrosoftSecurityIncidentCreation,Create incidents based on Azure Security Center alerts,AzureSecurityCenter
Scheduled,(Preview) TI map IP entity to DnsEvents,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to DnsEvents,DNS
Scheduled,Microsoft COVID-19 file hash indicator matches,PaloAltoNetworks
Scheduled,Failed Logins from Unknown or Invalid User,OktaSSO
Scheduled,Web sites blocked by Eset,EsetSMC
Scheduled,Known Manganese IP and UserAgent activity,Office365
Scheduled,Request for single resource on domain,Zscaler
Scheduled,Sensitive Azure Key Vault operations,WAF
MLBehaviorAnalytics,(Preview) Anomalous RDP Login Detections,SecurityEvents
Scheduled,Excessive NXDOMAIN DNS Queries,InfobloxNIOS
Scheduled,Password spray attack against Azure AD application,AzureActiveDirectory
Scheduled,Login to AWS Management Console without MFA,AWS
Scheduled,AD account with don't expire password - disabled,SecurityEvents
Scheduled,Account added and removed from privileged groups,SecurityEvents
Scheduled,Critical Threat Detected,VMwareCarbonBlack
Scheduled,Known GALLIUM domains and hashes,DNS
Scheduled,Known GALLIUM domains and hashes,AzureMonitor(VMInsights)
Scheduled,Known GALLIUM domains and hashes,CiscoASA
Scheduled,Known GALLIUM domains and hashes,PaloAltoNetworks
Scheduled,Known GALLIUM domains and hashes,SecurityEvents
Scheduled,Rare client observed with high reverse DNS lookup count,DNS
Scheduled,Suspicious granting of permissions to an account,AzureActivity
Scheduled,Exchange AuditLog disabled,Office365
MLBehaviorAnalytics,(Private Preview) Anomalous Fileshare Detections,SecurityEvents
Scheduled,IP with multiple failed Azure AD logins successfully logs in to Palo Alto VPN,AzureActiveDirectory
Scheduled,IP with multiple failed Azure AD logins successfully logs in to Palo Alto VPN,PaloAltoNetworks
Scheduled,AD user created password not set within 24-48 hours,SecurityEvents
Scheduled,Possible contact with a domain generated by a DGA,Zscaler
Scheduled,Possible contact with a domain generated by a DGA,Barracuda
Scheduled,Possible contact with a domain generated by a DGA,CEF
Scheduled,Possible contact with a domain generated by a DGA,CheckPoint
Scheduled,Possible contact with a domain generated by a DGA,CiscoASA
Scheduled,Possible contact with a domain generated by a DGA,F5
Scheduled,Possible contact with a domain generated by a DGA,Fortinet
Scheduled,Possible contact with a domain generated by a DGA,PaloAltoNetworks
Scheduled,Failed AzureAD logons but success logon to host,AzureActiveDirectory
Scheduled,Failed AzureAD logons but success logon to host,SecurityEvents
Scheduled,Failed AzureAD logons but success logon to host,Syslog
MicrosoftSecurityIncidentCreation,Create incidents based on Microsoft Cloud App Security alerts,MicrosoftCloudAppSecurity
Scheduled,Squid proxy events related to mining pools,Syslog
Scheduled,Rare subscription-level operations in Azure,AzureActivity
Scheduled,Known Strontium group domains,DNS
Scheduled,Known Strontium group domains,AzureMonitor(VMInsights)
Scheduled,Known Strontium group domains,CiscoASA
Scheduled,Known Strontium group domains,PaloAltoNetworks
Scheduled,New user created and added to the built-in administrators group,SecurityEvents
Scheduled,Large Number of Distinct Failed User Logins,PulseConnectSecure
Scheduled,Changes to internet facing AWS RDS Database instances,AWS
Scheduled,(Preview) TI map IP entity to VMConnection,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to VMConnection,AzureMonitor(VMInsights)
Scheduled,Network endpoint to host executable correlation,TrendMicro
Scheduled,Network endpoint to host executable correlation,SecurityEvents
Scheduled,Attempts to sign in to disabled accounts,AzureActiveDirectory
Scheduled,Multiple RDP connections from Single System,SecurityEvents
MicrosoftSecurityIncidentCreation,Create incidents based on Azure Advanced Threat Protection alerts,AzureAdvancedThreatProtection
Scheduled,Changes made to AWS CloudTrail logs,AWS
Scheduled,MFA disabled for a user,AzureActiveDirectory
Scheduled,MFA disabled for a user,AWS
Scheduled,Malicious web application requests linked with MDATP alerts,MicrosoftDefenderAdvancedThreatProtection
Scheduled,Malicious web application requests linked with MDATP alerts,AzureMonitor(IIS)
Scheduled,(Preview) TI map Email entity to SecurityEvent,ThreatIntelligence
Scheduled,(Preview) TI map Email entity to SecurityEvent,SecurityEvents
Scheduled,Successful logon from IP and failure from a different IP,AzureActiveDirectory
Scheduled,Anomalous User Agent connection attempt,AzureMonitor(IIS)
Scheduled,(Preview) TI map IP entity to WireData,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to WireData,AzureMonitor(WireData)
Scheduled,(Preview) TI map IP entity to W3CIISLog,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to W3CIISLog,AzureMonitor(IIS)
Scheduled,(Preview) TI map IP entity to OfficeActivity,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to OfficeActivity,Office365
Scheduled,Rare and potentially high-risk Office operations,Office365
Scheduled,Cisco ASA - threat detection message fired,CiscoASA
Scheduled,(Preview) TI map Domain entity to CommonSecurityLog,ThreatIntelligence
Scheduled,Cisco - firewall block but success logon to Azure AD,CiscoASA
Scheduled,Cisco - firewall block but success logon to Azure AD,AzureActiveDirectory
